dialogue,utterance,all_events
Alex in their way even though everyone say it be the wrong way to do it .,Alex>>in>>their>>way>>even>>though>>everyone>>say>>it>>be>>the>>wrong>>way>>to>>do>>it>>.,Alex does something wrong||Alex goes the wrong way||Alex has done something wrong||Alex says  in a way||Alex says the wrong thing||Alex proves everyone wrong||Alex goes down the wrong way||Alex rubs Jesse the wrong way||Alex goes the wrong way||Alex says  in a way||Alex worships  in Alex's way||Alex rubs Jesse the wrong way||Alex goes down the wrong way
Alex get a new video game and want to spend the night play it .,Alex>>get>>a>>new>>video>>game>>and>>want>>to>>spend>>the>>night>>play>>it>>.,Alex spends a night||Alex gets a new video game||Alex is playing a video game||Alex spends that night||Alex is playing video games||Alex spends  last night||Alex wants a new video game||Alex buys a new video game||Alex spends  playing video games||Alex spends  on video games||Alex is playing a video game||Alex wants a new video game||Alex spends the night||Alex plays  that night
Alex grow close to their significant other after they vacation together .,Alex>>grow>>close>>to>>their>>significant>>other>>after>>they>>vacation>>together>>.,Alex grows closer||Alex closes the door after Jesse||Alex grows close
Alex get gas at the station and get some snack for the drive .,Alex>>get>>gas>>at>>the>>station>>and>>get>>some>>snack>>for>>the>>drive>>.,Alex gets snacks||Alex stops at the gas station||Alex buys  at the gas station||Alex walks to the gas station||Alex is at the gas station||Alex gets snacks||Alex buys some snacks||Alex drives to the gas station||Alex gets a snack||Alex gets a snack||Alex stops at a gas station
Alex with observant eye then smile after they eat the last cookie .,Alex>>with>>observant>>eye>>then>>smile>>after>>they>>eat>>the>>last>>cookie>>.,Alex regards Jesse as one||Alex eats the cookies||Alex eats cookies||Alex eats Alex's cookies||Alex eats Jesse's cookies||Alex regards Jesse with eyes||Alex smiles Alex's smile||Alex makes Jesse observation||Alex observes every ||Alex observes Jesse closely||Alex eats Jesse's cookies
Alex 's kid spaghetti after the baseball practice .,Alex>>'s>>kid>>spaghetti>>after>>the>>baseball>>practice>>.,Alex practices everyday after school||Alex practices  after school||Alex practices every day after school||Alex is cooking spaghetti||Alex is making spaghetti
Quinn cry their eye out and eat a whole carton of icecream over her breakup .,Quinn>>cry>>their>>eye>>out>>and>>eat>>a>>whole>>carton>>of>>icecream>>over>>her>>breakup>>.,Alex cries and cried||Alex keeps an eye out||Alex cries Alex's eyes out||Alex eats the whole thing||Alex cries Jesse's eyes
remy have a good talk with Alex so Alex understand remy well now .,remy>>have>>a>>good>>talk>>with>>Alex>>so>>Alex>>understand>>remy>>well>>now>>.,Alex is now best friends||Alex understands  well||Alex understands the  better||Alex understands  better||Alex understands the  well
Alex take care of the child after school so that their parent could continue to work .,Alex>>take>>care>>of>>the>>child>>after>>school>>so>>that>>their>>parent>>could>>continue>>to>>work>>.,Alex works as hard as Jesse could||Alex continues Jesse's work||Alex works so much||Alex works after school||Alex continues Alex's work||Alex continues to work hard||Alex takes care of the children||Alex continues to work||Alex works so hard||Alex takes care of Alex's children||Alex takes care of children||Alex takes care of Jesse's children
Alex teach math in the school where underprivileged child study .,Alex>>teach>>math>>in>>the>>school>>where>>underprivileged>>child>>study>>.,Alex teaches  in schools||Alex teaches children the ||Alex teaches children ||Alex teaches  to children||Alex teaches  in the schools
"Jan fasten the anniversary necklace around Sydney 's neck , amid her tear of joy and exclamation of how beautiful it be .","Jan>>fasten>>the>>anniversary>>necklace>>around>>Sydney>>'s>>neck>>,>>amid>>her>>tear>>of>>joy>>and>>exclamation>>of>>how>>beautiful>>it>>be>>.",Alex ties  around Alex's neck||Alex cries tears of joy||Alex wraps  around Jesse's neck||Alex thinks it was beautiful||Alex wraps around Jesse's neck||Alex ties  around Jesse's neck||Alex looks beautiful
Kendall do not get the job despite the interviewer tell her she be qualified .,Kendall>>do>>not>>get>>the>>job>>despite>>the>>interviewer>>tell>>her>>she>>be>>qualified>>.,Alex does not get the job||Alex tells Jesse to get a job||Alex has an important job interview||Alex has a job interview||Alex gets  for an interview||Alex gets an interview||Alex gets the job done||Alex does n't get the job||Alex does n't get along
Alex talk to their friend about what they should do that night .,Alex>>talk>>to>>their>>friend>>about>>what>>they>>should>>do>>that>>night>>.,Alex talks to a friend||Alex shoulds always||Alex talks to Jesse about anything||Alex shoulds break up||Alex knows what Jesse was talking about||Alex does  last night||Alex talks about politics||Alex decides to do something about it||Alex talks all night||Alex does n't know what to do at first||Alex knows what Jesse was talking about
Remy go into town and find a fun place to get treat and eat some ice cream .,Remy>>go>>into>>town>>and>>find>>a>>fun>>place>>to>>get>>treat>>and>>eat>>some>>ice>>cream>>.,Alex wants some ice cream||Alex finds a place||Alex buys some ice cream||Alex treats  to ice cream||Alex eats ice cream||Alex gets a treat||Alex eats the ice cream||Alex finds Jesse a place||Alex finds Jesse place||Alex goes to town||Alex gets some ice cream||Alex finds a good place||Alex is going out of town||Alex eats some ice cream
Alex be at a friend 's house play video game to get away from his argue parent .,Alex>>be>>at>>a>>friend>>'s>>house>>play>>video>>game>>to>>get>>away>>from>>his>>argue>>parent>>.,Alex plays a video game||Alex is playing a video game||Alex gets away from Jesse||Alex argues a lot||Alex is playing video games||Alex tries to argue||Alex plays video games with Jesse's friends||Alex plays video games with Alex's friends
Alex teach math in the school and get a lot of praise for his style of teaching .,Alex>>teach>>math>>in>>the>>school>>and>>get>>a>>lot>>of>>praise>>for>>his>>style>>of>>teaching>>.,Alex teaches  in the schools||Alex teaches  a lesson||Alex sings the praises of ||Alex teaches  in schools||Alex teaches  also||Alex teaches  in schools||Alex spends  teaching||Alex teaches  in the schools
Alex pull Jesse over for speeding and then do not write him a ticket .,Alex>>pull>>Jesse>>over>>for>>speeding>>and>>then>>do>>not>>write>>him>>a>>ticket>>.,Alex writes Alex's own ticket||Alex is pulled over by a cop||Alex gives  a speeding ticket||Alex drives over the speed limit||Alex writes Jesse a ticket||Alex is pulled over for speeding||Alex pulls  over for speeding||Alex gets a speeding ticket||Alex pulls Jesse over for speeding
Robin leave food out for the animal in her backyard to come and enjoy .,Robin>>leave>>food>>out>>for>>the>>animal>>in>>her>>backyard>>to>>come>>and>>enjoy>>.,Alex enjoys the food||Alex leaves food out||Alex enjoys Alex's food||Alex leaves the food||Alex leaves food
Alex spend a minute thinking and finally decide to take action over it .,Alex>>spend>>a>>minute>>thinking>>and>>finally>>decide>>to>>take>>action>>over>>it>>.,Alex finally decided||Alex finally decided||Alex decides to pull over||Alex takes action against Jesse||Alex takes action||Alex spends  thinking||Alex takes Jesse action||Alex finally took ||Alex spends a  thinking
Bailey be not do well at work but want to change the perspective to feel well .,Bailey>>be>>not>>do>>well>>at>>work>>but>>want>>to>>change>>the>>perspective>>to>>feel>>well>>.,Alex does n't feel well||Alex does Alex's work well||Alex puts  into perspective||Alex changes the  for better||Alex changes  for better||Alex works well||Alex does well by doing good||Alex does Jesse's work well||Alex wants a change||Alex puts  in perspective||Alex is doing really well||Alex does Jesse's work well||Alex changes  for better||Alex changes the  for better||Alex does Alex's work well||Alex places the  in perspective
Alex be a fan of Jesse . one day she find a biography of Jesse . Alex want to read it .,Alex>>be>>a>>fan>>of>>Jesse>>.>>one>>day>>she>>find>>a>>biography>>of>>Jesse>>.>>Alex>>want>>to>>read>>it>>.,Alex wants to read||Alex buys a fan||Alex finds one||Alex finds  one day||Alex fans the flames||Alex finds the one||Alex finds a  in one||Alex is  one day||Alex fans dance
Alex leave the Halloween party early and drive home as fast as they could .,Alex>>leave>>the>>Halloween>>party>>early>>and>>drive>>home>>as>>fast>>as>>they>>could>>.,Alex drives  fast||Alex leaves  early||Alex drives as fast||Alex invites to a halloween party||Alex leaves early||Alex is invited to a halloween party||Alex has a halloween party
Kendall lose their shirt and walk around topless .,Kendall>>lose>>their>>shirt>>and>>walk>>around>>topless>>.,Alex walks around Jesse||Alex is walking around||Alex is walking around downtown||Alex walks around a bit||Alex loses Alex's shirt
Alex get loud as they raise their voice because of the altercation .,Alex>>get>>loud>>as>>they>>raise>>their>>voice>>because>>of>>the>>altercation>>.,Alex raises Jesse's voice||Alex raises Alex's voice||Alex is getting a raise||Alex gets louder||Alex gets a raise
Alex know that thing be get out of control and manage to keep his temper in check .,Alex>>know>>that>>thing>>be>>get>>out>>of>>control>>and>>manage>>to>>keep>>his>>temper>>in>>check>>.,Alex keeps the  in check||Alex works things out||Alex knows Jesse thing||Alex gets it checked out||Alex gets  under control||Alex keeps Alex's temper||Alex gets checked out||Alex knows every thing||Alex knows one thing||Alex keeps Alex's  in check||Alex controls Alex's temper
Alex give Jesse a red scarf . Jesse set it on fire .,Alex>>give>>Jesse>>a>>red>>scarf>>.>>Jesse>>set>>it>>on>>fire>>.,Alex sets  on fire||Alex sets Jesse on fire||Alex asks tom||Alex gives tom||Alex sets it on fire||Alex tells tom||Alex gives tom ||Alex sets fire to Jesse||Alex sets the  on fire
Alex build a mall on the site where the ruin be find .,Alex>>build>>a>>mall>>on>>the>>site>>where>>the>>ruin>>be>>find>>.,Alex finds  at the mall||Alex builds a  on the site||Alex is completely ruined||Alex would be ruined
Alex move because they be good friend and Jesse need help .,Alex>>move>>because>>they>>be>>good>>friend>>and>>Jesse>>need>>help>>.,Alex is best friends||Alex is best friends for years||Alex is a good friend||Alex helps  in need||Alex helps Jesse move||Alex helps a  in need||Alex needs help||Alex needs Jesse help||Alex helps  in need||Alex needs  to help||Alex needs help||Alex helps a  in need||Alex needs a friend||Alex becomes best friends||Alex is the best of friends||Alex needs  to help
Alex arrive at the restaurant and sit at their table .,Alex>>arrive>>at>>the>>restaurant>>and>>sit>>at>>their>>table>>.,Alex sits at the dinning room table||Alex sits at a table||Alex sits at the kitchen table||Alex arrives to the restaurant||Alex sits at the table||Alex sits at Jesse's table
Alex and his brother do not have much in common . they go on a camping trip and Alex grow close to their brother .,Alex>>and>>his>>brother>>do>>not>>have>>much>>in>>common>>.>>they>>go>>on>>a>>camping>>trip>>and>>Alex>>grow>>close>>to>>their>>brother>>.,Alex grows close||Alex goes camping||Alex is going on a trip||Alex is on a camping trip||Alex does n't have much money||Alex does n't help much||Alex does n't know much about Jesse||Alex is going camping||Alex has a lot in common||Alex does not have much money||Alex is going on a camping trip||Alex grows closer
"Remy , their partner Alex and family be out for dinner when Alex suddenly ask Remy to marry them .   Remy smile and answer the question happily say yes of course .","Remy>>,>>their>>partner>>Alex>>and>>family>>be>>out>>for>>dinner>>when>>Alex>>suddenly>>ask>>Remy>>to>>marry>>them>>.>>Remy>>smile>>and>>answer>>the>>question>>happily>>say>>yes>>of>>course>>.",Alex prepares ye the ||Alex tells  yes||Alex answers Jesse questions||Alex answers the question||Alex asks Jesse to marry Jesse||Alex answers Jesse question||Alex takes  out for dinner||Alex asks  to dinner||Alex takes  out to dinner||Alex asks Jesse to dinner||Alex answers questions||Alex answers the questions||Alex lets them have it||Alex asks Jesse to marry||Alex smiles happily||Alex tells Jesse yes
Alex in pain .,Alex>>in>>pain>>.,
Jesse be patient and hardworking and hungry in the morning .,Jesse>>be>>patient>>and>>hardworking>>and>>hungry>>in>>the>>morning>>.,
Ash and Sasha have be date for a long time .,Ash>>and>>Sasha>>have>>be>>date>>for>>a>>long>>time>>.,Alex is taking a long time||Alex keeps  for a long time||Alex dates back to the time||Alex lasts a long time||Alex takes a long time
Tracy understand Casey 's mood well once they sit down and talk it out together .,Tracy>>understand>>Casey>>'s>>mood>>well>>once>>they>>sit>>down>>and>>talk>>it>>out>>together>>.,Alex understands  well||Alex sits and talked||Alex understands the  better||Alex finally sat down||Alex sits together||Alex sits down beside Jesse||Alex understands  better||Alex takes  sitting down
Alex take a very long time to make up their mind of what to wear on their date that night .,Alex>>take>>a>>very>>long>>time>>to>>make>>up>>their>>mind>>of>>what>>to>>wear>>on>>their>>date>>that>>night>>.,Alex makes up Jesse mind||Alex takes a very long time||Alex takes Jesse a long time||Alex takes a long time||Alex sets  up on a date||Alex is taking a long time||Alex makes up Jesse's mind||Alex makes up Alex's minds||Alex makes a date
Bailey be a new student at the local high school in town .,Bailey>>be>>a>>new>>student>>at>>the>>local>>high>>school>>in>>town>>.,Alex is new in town||Alex is in high school||Alex is a high school student||Alex watches the local news||Alex is a student in high school
Skylar eat too much sweet and chocolate and drink too much sugary juice and the dentist tell her she have a cavity .,Skylar>>eat>>too>>much>>sweet>>and>>chocolate>>and>>drink>>too>>much>>sugary>>juice>>and>>the>>dentist>>tell>>her>>she>>have>>a>>cavity>>.,Alex has too much to drink||Alex eats too many sweets||Alex spends too much||Alex eats too much candy||Alex is too much work||Alex becomes too much||Alex has too much to drink||Alex has to go to the dentist||Alex eats too much||Alex protests too much||Alex eats too much||Alex eats too much candy||Alex loves  too much||Alex drinks  too much||Alex drinks a little too much||Alex eats sweets
